Loaded 10000 samples from ../../data/curve_beta/mpcno_curve_data_1.0_1.0_5_beta(0.5, 1.0)_panel_method_beta_random_panel_single.npz
Loaded 2000 samples from ../../data/curve_beta/mpcno_curve_data_1.0_1.0_5_beta(0.5, 1.0)_panel_method_beta_random_panel_two_curves.npz
x_train shape torch.Size([8000, 1000, 5]), x_test shape [torch.Size([1000, 1000, 5]), torch.Size([1000, 2000, 5])], y_train shape torch.Size([8000, 1000, 1]), y_test shape [torch.Size([1000, 1000, 1]), torch.Size([1000, 2000, 1])]
Domain range per dimension:  tensor([4.9995503425598145, 4.9999494552612305])
------Parameters------
kmax = 8
n_train = 8000, n_test = 1000
L = 10
Shape of Fourier modes:  (144, 2, 1)
layer_selection = {'grad': False, 'geo': False, 'geointegral': True}
layers = [64, 64, 64, 64, 64, 64]
activation = gelu
geo_activation = softsign
batch_size 8 

In MPCNO_train, ndims =  2
Epoch :  0  Time:  28.62  Rel. Train L2 Loss :  0.34121882501244544  Rel. Test L2 Loss :  {'Default': 0.1925940854549408, 'Two Circles': 0.40002983856201174}  Test L2 Loss :  {'Default': 0.798622463464737, 'Two Circles': 2.992096522331238}  inv_L_scale:  [1.0, 1.0]
Epoch :  1  Time:  19.267  Rel. Train L2 Loss :  0.15995789661258458  Rel. Test L2 Loss :  {'Default': 0.1450999918580055, 'Two Circles': 0.33867600464820863}  Test L2 Loss :  {'Default': 0.6016866393089294, 'Two Circles': 2.558716220855713}  inv_L_scale:  [1.0, 1.0]
Epoch :  2  Time:  19.247  Rel. Train L2 Loss :  0.12379788486659526  Rel. Test L2 Loss :  {'Default': 0.11379900479316711, 'Two Circles': 0.3072264684438705}  Test L2 Loss :  {'Default': 0.4741463696956634, 'Two Circles': 2.325046929359436}  inv_L_scale:  [1.0, 1.0]
Epoch :  3  Time:  19.233  Rel. Train L2 Loss :  0.10382478560507298  Rel. Test L2 Loss :  {'Default': 0.10932873463630677, 'Two Circles': 0.28137563383579256}  Test L2 Loss :  {'Default': 0.44473415529727933, 'Two Circles': 2.1231865549087523}  inv_L_scale:  [1.0, 1.0]
Epoch :  4  Time:  19.204  Rel. Train L2 Loss :  0.09213955175876617  Rel. Test L2 Loss :  {'Default': 0.08792845025658608, 'Two Circles': 0.27482470774650575}  Test L2 Loss :  {'Default': 0.3612935184240341, 'Two Circles': 2.0579593663215636}  inv_L_scale:  [1.0, 1.0]
Epoch :  5  Time:  19.236  Rel. Train L2 Loss :  0.08278946881741285  Rel. Test L2 Loss :  {'Default': 0.08913817632198334, 'Two Circles': 0.2565567661523819}  Test L2 Loss :  {'Default': 0.3581559364795685, 'Two Circles': 1.9246101655960084}  inv_L_scale:  [1.0, 1.0]
Epoch :  6  Time:  19.239  Rel. Train L2 Loss :  0.07728205537423491  Rel. Test L2 Loss :  {'Default': 0.0824697216451168, 'Two Circles': 0.2720137242078781}  Test L2 Loss :  {'Default': 0.34061445236206056, 'Two Circles': 2.033350712299347}  inv_L_scale:  [1.0, 1.0]
Epoch :  7  Time:  19.242  Rel. Train L2 Loss :  0.07354190889000893  Rel. Test L2 Loss :  {'Default': 0.07690029343962669, 'Two Circles': 0.24632735002040862}  Test L2 Loss :  {'Default': 0.3114500550031662, 'Two Circles': 1.85505721616745}  inv_L_scale:  [1.0, 1.0]
Epoch :  8  Time:  19.396  Rel. Train L2 Loss :  0.06978243531286717  Rel. Test L2 Loss :  {'Default': 0.07655321642756462, 'Two Circles': 0.256632763504982}  Test L2 Loss :  {'Default': 0.30745223760604856, 'Two Circles': 1.906304919719696}  inv_L_scale:  [1.0, 1.0]
Epoch :  9  Time:  19.218  Rel. Train L2 Loss :  0.06506091081351041  Rel. Test L2 Loss :  {'Default': 0.08332288432121276, 'Two Circles': 0.24481600618362426}  Test L2 Loss :  {'Default': 0.3287518550157547, 'Two Circles': 1.827035041809082}  inv_L_scale:  [1.0, 1.0]
Epoch :  10  Time:  19.181  Rel. Train L2 Loss :  0.06486483544111252  Rel. Test L2 Loss :  {'Default': 0.06321625673770905, 'Two Circles': 0.2274680483341217}  Test L2 Loss :  {'Default': 0.25050312691926957, 'Two Circles': 1.690714439868927}  inv_L_scale:  [1.0, 1.0]
Epoch :  11  Time:  19.213  Rel. Train L2 Loss :  0.05982443220540881  Rel. Test L2 Loss :  {'Default': 0.0634417188167572, 'Two Circles': 0.23206514835357667}  Test L2 Loss :  {'Default': 0.2520203719139099, 'Two Circles': 1.7463975582122804}  inv_L_scale:  [1.0, 1.0]
Epoch :  12  Time:  19.211  Rel. Train L2 Loss :  0.05867594075948  Rel. Test L2 Loss :  {'Default': 0.059262559801340105, 'Two Circles': 0.23440431129932404}  Test L2 Loss :  {'Default': 0.23985257411003114, 'Two Circles': 1.7592040209770203}  inv_L_scale:  [1.0, 1.0]
Epoch :  13  Time:  19.228  Rel. Train L2 Loss :  0.056669734546914693  Rel. Test L2 Loss :  {'Default': 0.062367282330989836, 'Two Circles': 0.23342010641098024}  Test L2 Loss :  {'Default': 0.24317587196826934, 'Two Circles': 1.7426165494918824}  inv_L_scale:  [1.0, 1.0]
Epoch :  14  Time:  19.226  Rel. Train L2 Loss :  0.05627545184269547  Rel. Test L2 Loss :  {'Default': 0.06535604271292686, 'Two Circles': 0.2391451480984688}  Test L2 Loss :  {'Default': 0.2723992418050766, 'Two Circles': 1.7998041820526123}  inv_L_scale:  [1.0, 1.0]
Epoch :  15  Time:  19.228  Rel. Train L2 Loss :  0.05434124034643173  Rel. Test L2 Loss :  {'Default': 0.05887951198220253, 'Two Circles': 0.21852973675727844}  Test L2 Loss :  {'Default': 0.23484409028291703, 'Two Circles': 1.6421571607589722}  inv_L_scale:  [1.0, 1.0]
