Loaded 10000 samples from ../../data/curve_beta/mpcno_curve_data_1.0_1.0_5_beta(0.5, 1.0)_panel_method_beta_random_panel_single.npz
Loaded 2000 samples from ../../data/curve_beta/mpcno_curve_data_1.0_1.0_5_beta(0.5, 1.0)_panel_method_beta_random_panel_two_curves.npz
x_train shape torch.Size([8000, 1000, 5]), x_test shape [torch.Size([1000, 1000, 5]), torch.Size([1000, 2000, 5])], y_train shape torch.Size([8000, 1000, 1]), y_test shape [torch.Size([1000, 1000, 1]), torch.Size([1000, 2000, 1])]
Domain range per dimension:  tensor([4.9995503425598145, 4.9999494552612305])
------Parameters------
kmax = 64
n_train = 8000, n_test = 1000
L = 10
Shape of Fourier modes:  (8320, 2, 1)
layer_selection = {'grad': False, 'geo': False, 'geointegral': True}
layers = [64, 64, 64, 64, 64, 64]
activation = gelu
geo_activation = softsign
batch_size 8 

In MPCNO_train, ndims =  2
Epoch :  0  Time:  164.732  Rel. Train L2 Loss :  0.27528954186290505  Rel. Test L2 Loss :  {'Default': 0.15651211422681807, 'Two Circles': 0.31169308495521547}  Test L2 Loss :  {'Default': 0.6396385431289673, 'Two Circles': 2.40291712474823}  inv_L_scale:  [1.0, 1.0]
Epoch :  1  Time:  159.136  Rel. Train L2 Loss :  0.12947236432135106  Rel. Test L2 Loss :  {'Default': 0.13164257818460465, 'Two Circles': 0.2940849997997284}  Test L2 Loss :  {'Default': 0.5208417532444001, 'Two Circles': 2.2161179113388063}  inv_L_scale:  [1.0, 1.0]
Epoch :  2  Time:  159.078  Rel. Train L2 Loss :  0.10474151773750782  Rel. Test L2 Loss :  {'Default': 0.10455512475967407, 'Two Circles': 0.26168217897415164}  Test L2 Loss :  {'Default': 0.42499780309200286, 'Two Circles': 2.0264412541389465}  inv_L_scale:  [1.0, 1.0]
Epoch :  3  Time:  159.248  Rel. Train L2 Loss :  0.0938747065141797  Rel. Test L2 Loss :  {'Default': 0.10266193348169327, 'Two Circles': 0.2535370696783066}  Test L2 Loss :  {'Default': 0.4092600461244583, 'Two Circles': 1.966307137966156}  inv_L_scale:  [1.0, 1.0]
Epoch :  4  Time:  159.256  Rel. Train L2 Loss :  0.08968353850021958  Rel. Test L2 Loss :  {'Default': 0.09386775374412537, 'Two Circles': 0.2500314254760742}  Test L2 Loss :  {'Default': 0.3801797170639038, 'Two Circles': 1.938188485622406}  inv_L_scale:  [1.0, 1.0]
Epoch :  5  Time:  159.259  Rel. Train L2 Loss :  0.08453745599836111  Rel. Test L2 Loss :  {'Default': 0.08340360325574875, 'Two Circles': 0.2400109667778015}  Test L2 Loss :  {'Default': 0.3328962675333023, 'Two Circles': 1.8489603996276855}  inv_L_scale:  [1.0, 1.0]
Epoch :  6  Time:  159.339  Rel. Train L2 Loss :  0.08105043424293398  Rel. Test L2 Loss :  {'Default': 0.08358134251832962, 'Two Circles': 0.23936566537618637}  Test L2 Loss :  {'Default': 0.3307689620256424, 'Two Circles': 1.8485624408721923}  inv_L_scale:  [1.0, 1.0]
Epoch :  7  Time:  159.352  Rel. Train L2 Loss :  0.07724887447059155  Rel. Test L2 Loss :  {'Default': 0.08816995948553086, 'Two Circles': 0.22763700503110887}  Test L2 Loss :  {'Default': 0.34520525121688844, 'Two Circles': 1.7419909315109252}  inv_L_scale:  [1.0, 1.0]
Epoch :  8  Time:  159.383  Rel. Train L2 Loss :  0.07547881190478802  Rel. Test L2 Loss :  {'Default': 0.07475584444403649, 'Two Circles': 0.22975160336494446}  Test L2 Loss :  {'Default': 0.30289258337020875, 'Two Circles': 1.7664619545936584}  inv_L_scale:  [1.0, 1.0]
Epoch :  9  Time:  159.28  Rel. Train L2 Loss :  0.07057747876271606  Rel. Test L2 Loss :  {'Default': 0.0742034687101841, 'Two Circles': 0.22091429710388183}  Test L2 Loss :  {'Default': 0.29855063343048094, 'Two Circles': 1.7155611510276794}  inv_L_scale:  [1.0, 1.0]
Epoch :  10  Time:  159.252  Rel. Train L2 Loss :  0.06826646952331065  Rel. Test L2 Loss :  {'Default': 0.07292969703674317, 'Two Circles': 0.21814949572086334}  Test L2 Loss :  {'Default': 0.2865682520866394, 'Two Circles': 1.6716566567420958}  inv_L_scale:  [1.0, 1.0]
Epoch :  11  Time:  159.298  Rel. Train L2 Loss :  0.06703351911529899  Rel. Test L2 Loss :  {'Default': 0.08500875714421273, 'Two Circles': 0.23814079427719118}  Test L2 Loss :  {'Default': 0.3408083304166794, 'Two Circles': 1.8286355714797973}  inv_L_scale:  [1.0, 1.0]
Epoch :  12  Time:  159.28  Rel. Train L2 Loss :  0.06537828658893705  Rel. Test L2 Loss :  {'Default': 0.0729101527929306, 'Two Circles': 0.2091516832113266}  Test L2 Loss :  {'Default': 0.28225745034217836, 'Two Circles': 1.6098711833953858}  inv_L_scale:  [1.0, 1.0]
Epoch :  13  Time:  159.22  Rel. Train L2 Loss :  0.06149787135794759  Rel. Test L2 Loss :  {'Default': 0.06611071306467056, 'Two Circles': 0.2193885736465454}  Test L2 Loss :  {'Default': 0.2614684457778931, 'Two Circles': 1.6910897736549377}  inv_L_scale:  [1.0, 1.0]
Epoch :  14  Time:  159.218  Rel. Train L2 Loss :  0.061159032288938764  Rel. Test L2 Loss :  {'Default': 0.06735030090808869, 'Two Circles': 0.21125313913822175}  Test L2 Loss :  {'Default': 0.2654218621253967, 'Two Circles': 1.6200057692527772}  inv_L_scale:  [1.0, 1.0]
Epoch :  15  Time:  159.236  Rel. Train L2 Loss :  0.05961897337809205  Rel. Test L2 Loss :  {'Default': 0.06144666716456413, 'Two Circles': 0.2085117449760437}  Test L2 Loss :  {'Default': 0.24060608589649202, 'Two Circles': 1.6182341222763061}  inv_L_scale:  [1.0, 1.0]
Epoch :  16  Time:  159.196  Rel. Train L2 Loss :  0.05686611820757389  Rel. Test L2 Loss :  {'Default': 0.06461499252915383, 'Two Circles': 0.20800155735015868}  Test L2 Loss :  {'Default': 0.25591281986236575, 'Two Circles': 1.60785502243042}  inv_L_scale:  [1.0, 1.0]
Epoch :  17  Time:  159.264  Rel. Train L2 Loss :  0.05535687542706728  Rel. Test L2 Loss :  {'Default': 0.061261319994926455, 'Two Circles': 0.1988933720588684}  Test L2 Loss :  {'Default': 0.23911173117160797, 'Two Circles': 1.541435546875}  inv_L_scale:  [1.0, 1.0]
