Loaded 10000 samples from ../../data/curve_beta/mpcno_curve_data_1.0_1.0_5_beta(0.5, 1.0)_panel_method_beta_random_panel_single.npz
Loaded 2000 samples from ../../data/curve_beta/mpcno_curve_data_1.0_1.0_5_beta(0.5, 1.0)_panel_method_beta_random_panel_two_curves.npz
x_train shape torch.Size([8000, 1000, 5]), x_test shape [torch.Size([1000, 1000, 5]), torch.Size([1000, 2000, 5])], y_train shape torch.Size([8000, 1000, 1]), y_test shape [torch.Size([1000, 1000, 1]), torch.Size([1000, 2000, 1])]
Domain range per dimension:  tensor([4.9995503425598145, 4.9999494552612305])
------Parameters------
kmax = 16
n_train = 8000, n_test = 1000
L = 10
Shape of Fourier modes:  (544, 2, 1)
layer_selection = {'grad': False, 'geo': False, 'geointegral': True}
layers = [64, 64, 64, 64, 64, 64]
activation = gelu
geo_activation = softsign
batch_size 8 

In MPCNO_train, ndims =  2
Epoch :  18  Time:  19.398  Rel. Train L2 Loss :  0.04890856423228979  Rel. Test L2 Loss :  {'Default': 0.056578942745923996, 'Two Circles': 0.19925341552495957}  Test L2 Loss :  {'Default': 0.22571303570270537, 'Two Circles': 1.5050051727294922}  inv_L_scale:  [1.0, 1.0]
Epoch :  19  Time:  19.38  Rel. Train L2 Loss :  0.04877577088400722  Rel. Test L2 Loss :  {'Default': 0.057124560862779616, 'Two Circles': 0.21070976769924163}  Test L2 Loss :  {'Default': 0.2255735993385315, 'Two Circles': 1.6101054377555848}  inv_L_scale:  [1.0, 1.0]
Epoch :  20  Time:  19.411  Rel. Train L2 Loss :  0.04568164938688278  Rel. Test L2 Loss :  {'Default': 0.04944358238577843, 'Two Circles': 0.20905976003408433}  Test L2 Loss :  {'Default': 0.19644561570882796, 'Two Circles': 1.5927411241531373}  inv_L_scale:  [1.0, 1.0]
Epoch :  21  Time:  19.408  Rel. Train L2 Loss :  0.04578471729159355  Rel. Test L2 Loss :  {'Default': 0.05257068231701851, 'Two Circles': 0.20874409067630767}  Test L2 Loss :  {'Default': 0.2053367805480957, 'Two Circles': 1.5848997402191163}  inv_L_scale:  [1.0, 1.0]
Epoch :  22  Time:  19.393  Rel. Train L2 Loss :  0.04609157632477581  Rel. Test L2 Loss :  {'Default': 0.0546284576356411, 'Two Circles': 0.21057863754034042}  Test L2 Loss :  {'Default': 0.21426323699951172, 'Two Circles': 1.588018208026886}  inv_L_scale:  [1.0, 1.0]
Epoch :  23  Time:  19.377  Rel. Train L2 Loss :  0.045996172877028584  Rel. Test L2 Loss :  {'Default': 0.05531123298406601, 'Two Circles': 0.21715450155735017}  Test L2 Loss :  {'Default': 0.2206193995475769, 'Two Circles': 1.6387170624732972}  inv_L_scale:  [1.0, 1.0]
Epoch :  24  Time:  19.401  Rel. Train L2 Loss :  0.04565424715168774  Rel. Test L2 Loss :  {'Default': 0.05443270447850227, 'Two Circles': 0.21107257568836213}  Test L2 Loss :  {'Default': 0.21179457008838654, 'Two Circles': 1.6017209148406983}  inv_L_scale:  [1.0, 1.0]
Epoch :  25  Time:  19.408  Rel. Train L2 Loss :  0.04324462202005088  Rel. Test L2 Loss :  {'Default': 0.05046119803190231, 'Two Circles': 0.2021375440955162}  Test L2 Loss :  {'Default': 0.19773402237892151, 'Two Circles': 1.5341664481163024}  inv_L_scale:  [1.0, 1.0]
Epoch :  26  Time:  19.408  Rel. Train L2 Loss :  0.04394183084927499  Rel. Test L2 Loss :  {'Default': 0.045707524046301844, 'Two Circles': 0.22321202325820924}  Test L2 Loss :  {'Default': 0.18215914982557296, 'Two Circles': 1.6867020392417909}  inv_L_scale:  [1.0, 1.0]
Epoch :  27  Time:  19.401  Rel. Train L2 Loss :  0.043568050306290386  Rel. Test L2 Loss :  {'Default': 0.04870458519458771, 'Two Circles': 0.21056964361667632}  Test L2 Loss :  {'Default': 0.19292993795871735, 'Two Circles': 1.601375789642334}  inv_L_scale:  [1.0, 1.0]
