Loaded 10000 samples from ../../data/curve_beta/mpcno_curve_data_1.0_1.0_5_beta(0.5, 1.0)_panel_method_beta_random_panel_single.npz
Loaded 2000 samples from ../../data/curve_beta/mpcno_curve_data_1.0_1.0_5_beta(0.5, 1.0)_panel_method_beta_random_panel_two_curves.npz
x_train shape torch.Size([8000, 1000, 5]), x_test shape [torch.Size([1000, 1000, 5]), torch.Size([1000, 2000, 5])], y_train shape torch.Size([8000, 1000, 1]), y_test shape [torch.Size([1000, 1000, 1]), torch.Size([1000, 2000, 1])]
Domain range per dimension:  tensor([4.9995503425598145, 4.9999494552612305])
------Parameters------
kmax = 32
n_train = 8000, n_test = 1000
L = 10
Shape of Fourier modes:  (2112, 2, 1)
layer_selection = {'grad': False, 'geo': False, 'geointegral': True}
layers = [64, 64, 64, 64, 64, 64]
activation = gelu
geo_activation = softsign
batch_size 8 

In MPCNO_train, ndims =  2
Epoch :  0  Time:  51.372  Rel. Train L2 Loss :  0.2809042268767953  Rel. Test L2 Loss :  {'Default': 0.15678931212425232, 'Two Circles': 0.31275534760951995}  Test L2 Loss :  {'Default': 0.6438012452125549, 'Two Circles': 2.4085592761039734}  inv_L_scale:  [1.0, 1.0]
Epoch :  1  Time:  45.255  Rel. Train L2 Loss :  0.12475991214811802  Rel. Test L2 Loss :  {'Default': 0.11737851935625077, 'Two Circles': 0.2695596239566803}  Test L2 Loss :  {'Default': 0.4781519200801849, 'Two Circles': 2.0894443359375}  inv_L_scale:  [1.0, 1.0]
Epoch :  2  Time:  45.272  Rel. Train L2 Loss :  0.0967653314061463  Rel. Test L2 Loss :  {'Default': 0.09997996747493744, 'Two Circles': 0.2505917607545853}  Test L2 Loss :  {'Default': 0.39930644023418427, 'Two Circles': 1.9319602484703065}  inv_L_scale:  [1.0, 1.0]
Epoch :  3  Time:  45.285  Rel. Train L2 Loss :  0.08617540906369686  Rel. Test L2 Loss :  {'Default': 0.087296611815691, 'Two Circles': 0.24964446079730987}  Test L2 Loss :  {'Default': 0.35398486638069154, 'Two Circles': 1.9332292237281798}  inv_L_scale:  [1.0, 1.0]
Epoch :  4  Time:  45.284  Rel. Train L2 Loss :  0.07648924449831247  Rel. Test L2 Loss :  {'Default': 0.08335573649406433, 'Two Circles': 0.240598404109478}  Test L2 Loss :  {'Default': 0.33594197022914885, 'Two Circles': 1.8462843885421754}  inv_L_scale:  [1.0, 1.0]
Epoch :  5  Time:  45.277  Rel. Train L2 Loss :  0.07301035661995411  Rel. Test L2 Loss :  {'Default': 0.07704121068120003, 'Two Circles': 0.22379097026586534}  Test L2 Loss :  {'Default': 0.30544529139995574, 'Two Circles': 1.729971646308899}  inv_L_scale:  [1.0, 1.0]
Epoch :  6  Time:  45.322  Rel. Train L2 Loss :  0.06940330702066422  Rel. Test L2 Loss :  {'Default': 0.07105530318617821, 'Two Circles': 0.23297978818416595}  Test L2 Loss :  {'Default': 0.28440172588825224, 'Two Circles': 1.7925178618431092}  inv_L_scale:  [1.0, 1.0]
Epoch :  7  Time:  45.345  Rel. Train L2 Loss :  0.06748517213016748  Rel. Test L2 Loss :  {'Default': 0.07644036847352982, 'Two Circles': 0.22416891819238663}  Test L2 Loss :  {'Default': 0.3009758825302124, 'Two Circles': 1.7092376351356506}  inv_L_scale:  [1.0, 1.0]
Epoch :  8  Time:  45.3  Rel. Train L2 Loss :  0.06528452060744167  Rel. Test L2 Loss :  {'Default': 0.07147146531939506, 'Two Circles': 0.22273076570034028}  Test L2 Loss :  {'Default': 0.2848960996866226, 'Two Circles': 1.702562211036682}  inv_L_scale:  [1.0, 1.0]
Epoch :  9  Time:  45.293  Rel. Train L2 Loss :  0.06395901773124933  Rel. Test L2 Loss :  {'Default': 0.06821170485019684, 'Two Circles': 0.21558870953321457}  Test L2 Loss :  {'Default': 0.27329326725006103, 'Two Circles': 1.6602716450691224}  inv_L_scale:  [1.0, 1.0]
Epoch :  10  Time:  45.34  Rel. Train L2 Loss :  0.059652353264391424  Rel. Test L2 Loss :  {'Default': 0.06499000796675682, 'Two Circles': 0.21582976859807967}  Test L2 Loss :  {'Default': 0.25959299826622007, 'Two Circles': 1.6644567432403565}  inv_L_scale:  [1.0, 1.0]
Epoch :  11  Time:  45.303  Rel. Train L2 Loss :  0.059618206415325406  Rel. Test L2 Loss :  {'Default': 0.06115032470226288, 'Two Circles': 0.2162624471783638}  Test L2 Loss :  {'Default': 0.24570542657375335, 'Two Circles': 1.6557102193832398}  inv_L_scale:  [1.0, 1.0]
Epoch :  12  Time:  45.287  Rel. Train L2 Loss :  0.05740106354281306  Rel. Test L2 Loss :  {'Default': 0.06921859100461006, 'Two Circles': 0.22491753780841828}  Test L2 Loss :  {'Default': 0.27203675961494445, 'Two Circles': 1.7286810746192933}  inv_L_scale:  [1.0, 1.0]
Epoch :  13  Time:  45.323  Rel. Train L2 Loss :  0.05734557883441448  Rel. Test L2 Loss :  {'Default': 0.060965178549289706, 'Two Circles': 0.22129041492938994}  Test L2 Loss :  {'Default': 0.24288930678367615, 'Two Circles': 1.7039349150657654}  inv_L_scale:  [1.0, 1.0]
Epoch :  14  Time:  45.286  Rel. Train L2 Loss :  0.05500244296714663  Rel. Test L2 Loss :  {'Default': 0.059007951885461804, 'Two Circles': 0.2108368577361107}  Test L2 Loss :  {'Default': 0.2353504058122635, 'Two Circles': 1.6210386443138123}  inv_L_scale:  [1.0, 1.0]
Epoch :  15  Time:  45.29  Rel. Train L2 Loss :  0.05271541162207723  Rel. Test L2 Loss :  {'Default': 0.06233740121126175, 'Two Circles': 0.22129913008213042}  Test L2 Loss :  {'Default': 0.25146972930431366, 'Two Circles': 1.6986517505645753}  inv_L_scale:  [1.0, 1.0]
Epoch :  16  Time:  45.334  Rel. Train L2 Loss :  0.05293864049389958  Rel. Test L2 Loss :  {'Default': 0.0589827698469162, 'Two Circles': 0.22222081780433656}  Test L2 Loss :  {'Default': 0.23580694490671159, 'Two Circles': 1.7068954000473022}  inv_L_scale:  [1.0, 1.0]
Epoch :  17  Time:  45.279  Rel. Train L2 Loss :  0.05087344306334853  Rel. Test L2 Loss :  {'Default': 0.05919750615954399, 'Two Circles': 0.2150356684923172}  Test L2 Loss :  {'Default': 0.24029192024469376, 'Two Circles': 1.6594913392066954}  inv_L_scale:  [1.0, 1.0]
Epoch :  18  Time:  45.293  Rel. Train L2 Loss :  0.04979063632525504  Rel. Test L2 Loss :  {'Default': 0.05786542624235153, 'Two Circles': 0.2306578097343445}  Test L2 Loss :  {'Default': 0.23378195595741272, 'Two Circles': 1.760448902130127}  inv_L_scale:  [1.0, 1.0]
Epoch :  19  Time:  45.324  Rel. Train L2 Loss :  0.04879531036689878  Rel. Test L2 Loss :  {'Default': 0.05265558403730392, 'Two Circles': 0.21779810446500777}  Test L2 Loss :  {'Default': 0.21269896721839904, 'Two Circles': 1.6527470908164978}  inv_L_scale:  [1.0, 1.0]
Epoch :  20  Time:  45.284  Rel. Train L2 Loss :  0.048119448948651555  Rel. Test L2 Loss :  {'Default': 0.057816308140754696, 'Two Circles': 0.22192212426662444}  Test L2 Loss :  {'Default': 0.23561860203742982, 'Two Circles': 1.6899071497917175}  inv_L_scale:  [1.0, 1.0]
Epoch :  21  Time:  45.301  Rel. Train L2 Loss :  0.04860053879395127  Rel. Test L2 Loss :  {'Default': 0.05761455211043358, 'Two Circles': 0.2048423309326172}  Test L2 Loss :  {'Default': 0.22649808478355407, 'Two Circles': 1.5661802144050598}  inv_L_scale:  [1.0, 1.0]
Epoch :  22  Time:  45.293  Rel. Train L2 Loss :  0.047339523484930396  Rel. Test L2 Loss :  {'Default': 0.05469979766011238, 'Two Circles': 0.22331031584739686}  Test L2 Loss :  {'Default': 0.21893739706277848, 'Two Circles': 1.7025781469345094}  inv_L_scale:  [1.0, 1.0]
Epoch :  23  Time:  45.279  Rel. Train L2 Loss :  0.047260620107874275  Rel. Test L2 Loss :  {'Default': 0.05310633397102356, 'Two Circles': 0.20788742327690124}  Test L2 Loss :  {'Default': 0.21015326011180877, 'Two Circles': 1.5815835199356079}  inv_L_scale:  [1.0, 1.0]
