data_in.shape: (2490, 221, 51, 2)
data_out.shape (2490, 221, 51)
(2490, 221, 51, 2) (2490, 221, 51, 2) (2490, 221, 51, 1)
x_train.shape: (1000, 11271, 6)
y_train.shape: (1000, 11271, 1)
rank:[32, 32, 32, 32]
TuckerGeoGkNO(
  (fc0): Linear(in_features=3, out_features=128, bias=True)
  (sp_convs): ModuleList(
    (0-3): 4 x TuckerGalerkinConv()
  )
  (ws): ModuleList(
    (0-3): 4 x Conv1d(128, 128, kernel_size=(1,), stride=(1,))
  )
  (fc1): Linear(in_features=128, out_features=128, bias=True)
  (fc2): Linear(in_features=128, out_features=1, bias=True)
)
In GeoFNO_train, ndim =  2
ep: 45  rel.train: 0.04686835467815399  rel.test: 0.045616914629936216  abs.test: 0.037683441042900084  time: 3.1306474208831787
ep: 46  rel.train: 0.04864739346504211  rel.test: 0.053250502049922946  abs.test: 0.04399750918149948  time: 3.130096673965454
ep: 47  rel.train: 0.05111557114124298  rel.test: 0.055619438290596006  abs.test: 0.045943086743354795  time: 3.130783796310425
ep: 48  rel.train: 0.04788715064525604  rel.test: 0.04422560065984726  abs.test: 0.036530829668045044  time: 3.1292152404785156
ep: 49  rel.train: 0.0472755286693573  rel.test: 0.047046777009963986  abs.test: 0.03886623322963714  time: 3.1316025257110596
ep: 50  rel.train: 0.05091085374355316  rel.test: 0.054587481915950774  abs.test: 0.0451104336977005  time: 3.1308343410491943
ep: 51  rel.train: 0.05075306022167206  rel.test: 0.049795437157154086  abs.test: 0.04117561846971512  time: 3.130347728729248
ep: 52  rel.train: 0.04700126272439957  rel.test: 0.046823508739471435  abs.test: 0.03868445992469788  time: 3.1314499378204346
ep: 53  rel.train: 0.04621678775548935  rel.test: 0.04469937115907669  abs.test: 0.036926585733890537  time: 3.1310675144195557
ep: 54  rel.train: 0.0479516893029213  rel.test: 0.047243302464485167  abs.test: 0.03903651118278503  time: 3.1304047107696533
ep: 55  rel.train: 0.04807971578836441  rel.test: 0.05626273214817047  abs.test: 0.046465319395065305  time: 3.1315722465515137
ep: 56  rel.train: 0.04628013110160828  rel.test: 0.04239357978105545  abs.test: 0.035013972520828246  time: 3.130218744277954
ep: 57  rel.train: 0.04692025500535965  rel.test: 0.044888310730457306  abs.test: 0.037083230316638946  time: 3.1319775581359863
ep: 58  rel.train: 0.04767020207643509  rel.test: 0.05176047712564468  abs.test: 0.04275751888751984  time: 3.1306633949279785
ep: 59  rel.train: 0.0490802953839302  rel.test: 0.0452348455786705  abs.test: 0.03735630631446838  time: 3.131732702255249
ep: 60  rel.train: 0.04785956060886383  rel.test: 0.044676623344421386  abs.test: 0.03690156757831573  time: 3.1321566104888916
ep: 61  rel.train: 0.04535463160276413  rel.test: 0.04854579299688339  abs.test: 0.04013491332530975  time: 3.1309733390808105
ep: 62  rel.train: 0.04785812026262283  rel.test: 0.047057009637355804  abs.test: 0.03888414621353149  time: 3.1314444541931152
ep: 63  rel.train: 0.04949459552764893  rel.test: 0.04753127336502075  abs.test: 0.039269985258579256  time: 3.130913019180298
ep: 64  rel.train: 0.047594217717647554  rel.test: 0.04578881442546844  abs.test: 0.037825965583324433  time: 3.130685806274414
ep: 65  rel.train: 0.04748829329013825  rel.test: 0.04703205108642578  abs.test: 0.0388455069065094  time: 3.128803253173828
ep: 66  rel.train: 0.04786358594894409  rel.test: 0.04549913197755814  abs.test: 0.03757779061794281  time: 3.13100528717041
