data_in.shape: (2490, 221, 51, 2)
data_out.shape (2490, 221, 51)
(2490, 221, 51, 2) (2490, 221, 51, 2) (2490, 221, 51, 1)
x_train.shape: (1000, 11271, 6)
y_train.shape: (1000, 11271, 1)
TuckerGeoGkNO(
  (fc0): Linear(in_features=3, out_features=128, bias=True)
  (sp_convs): ModuleList(
    (0-3): 4 x TuckerGalerkinConv()
  )
  (ws): ModuleList(
    (0-3): 4 x Conv1d(128, 128, kernel_size=(1,), stride=(1,))
  )
  (fc1): Linear(in_features=128, out_features=128, bias=True)
  (fc2): Linear(in_features=128, out_features=1, bias=True)
)
In GeoFNO_train, ndim =  2
ep: 45  rel.train: 0.047663056671619415  rel.test: 0.04557867020368576  abs.test: 0.03764067679643631  time: 3.1991500854492188
ep: 46  rel.train: 0.047178979575634  rel.test: 0.05047567218542099  abs.test: 0.04168470948934555  time: 3.2043983936309814
ep: 47  rel.train: 0.04601077151298523  rel.test: 0.046882392168045045  abs.test: 0.03870747148990631  time: 3.208390951156616
ep: 48  rel.train: 0.047765514373779294  rel.test: 0.04551487475633621  abs.test: 0.037588147819042204  time: 3.2157132625579834
ep: 49  rel.train: 0.046406620800495145  rel.test: 0.046006792783737184  abs.test: 0.037983692586421966  time: 3.221301555633545
ep: 50  rel.train: 0.04661250531673431  rel.test: 0.04669180750846863  abs.test: 0.038549995124340056  time: 3.224297523498535
ep: 51  rel.train: 0.04623857849836349  rel.test: 0.04440020054578781  abs.test: 0.036656037867069245  time: 3.2192208766937256
ep: 52  rel.train: 0.04737726145982742  rel.test: 0.044867990016937254  abs.test: 0.03705359995365143  time: 3.206860303878784
ep: 53  rel.train: 0.04520869922637939  rel.test: 0.04565326005220413  abs.test: 0.037710685729980466  time: 3.2015535831451416
ep: 54  rel.train: 0.044737919509410855  rel.test: 0.04461747139692306  abs.test: 0.036846403181552884  time: 3.1839873790740967
ep: 55  rel.train: 0.04513220638036728  rel.test: 0.04439449787139892  abs.test: 0.03665712028741837  time: 3.175428867340088
ep: 56  rel.train: 0.04826548331975937  rel.test: 0.049549157917499545  abs.test: 0.04091640174388886  time: 3.1674177646636963
ep: 57  rel.train: 0.04876661890745163  rel.test: 0.046562409102916716  abs.test: 0.038466075956821444  time: 3.156248092651367
ep: 58  rel.train: 0.04520730197429657  rel.test: 0.04481897056102753  abs.test: 0.03701788455247879  time: 3.154683828353882
ep: 59  rel.train: 0.04661130511760712  rel.test: 0.04393054783344269  abs.test: 0.036275835633277895  time: 3.1577188968658447
ep: 60  rel.train: 0.04626359021663666  rel.test: 0.04433888405561447  abs.test: 0.036632899343967434  time: 3.1476123332977295
ep: 61  rel.train: 0.043394747078418734  rel.test: 0.04509022563695907  abs.test: 0.037237992882728575  time: 3.144737958908081
ep: 62  rel.train: 0.04365158826112747  rel.test: 0.047530077397823334  abs.test: 0.03924391120672226  time: 3.140528678894043
ep: 63  rel.train: 0.04517239618301391  rel.test: 0.042844820320606235  abs.test: 0.035376359224319455  time: 3.140763521194458
ep: 64  rel.train: 0.04330728954076767  rel.test: 0.04243734031915665  abs.test: 0.0350416699051857  time: 3.1465160846710205
ep: 65  rel.train: 0.043624313712120055  rel.test: 0.04473713964223862  abs.test: 0.03693612366914749  time: 3.1400516033172607
ep: 66  rel.train: 0.0468310010433197  rel.test: 0.058773683309555055  abs.test: 0.04854808837175369  time: 3.1388683319091797
ep: 67  rel.train: 0.04463130706548691  rel.test: 0.045378674566745755  abs.test: 0.0374875271320343  time: 3.13866925239563
ep: 68  rel.train: 0.043679236948490144  rel.test: 0.04083390355110168  abs.test: 0.03372195929288864  time: 3.138418674468994
ep: 69  rel.train: 0.04469483780860901  rel.test: 0.05837753057479858  abs.test: 0.04823464572429657  time: 3.139892101287842
ep: 70  rel.train: 0.04449319577217102  rel.test: 0.04119380384683609  abs.test: 0.03402762770652771  time: 3.1459059715270996
ep: 71  rel.train: 0.0409338726401329  rel.test: 0.04342310637235641  abs.test: 0.03588967949151993  time: 3.140432357788086
ep: 72  rel.train: 0.04168937110900879  rel.test: 0.0412431612610817  abs.test: 0.03405921339988709  time: 3.138568878173828
ep: 73  rel.train: 0.041195253670215606  rel.test: 0.04859088838100433  abs.test: 0.040139744579792025  time: 3.1422250270843506
ep: 74  rel.train: 0.04157317751646042  rel.test: 0.037109639942646024  abs.test: 0.03065238744020462  time: 3.139897584915161
ep: 75  rel.train: 0.04092221695184708  rel.test: 0.03788609027862549  abs.test: 0.03129190772771835  time: 3.1394851207733154
ep: 76  rel.train: 0.04016612559556961  rel.test: 0.03862533271312714  abs.test: 0.031905309557914735  time: 3.148838758468628
ep: 77  rel.train: 0.04142780643701553  rel.test: 0.03939692676067352  abs.test: 0.03255365431308746  time: 3.143994092941284
ep: 78  rel.train: 0.039284569680690766  rel.test: 0.037883454859256746  abs.test: 0.03129813939332962  time: 3.1439247131347656
ep: 79  rel.train: 0.037882644653320315  rel.test: 0.0387627375125885  abs.test: 0.03203049093484878  time: 3.1442368030548096
ep: 80  rel.train: 0.038635710954666135  rel.test: 0.03714516580104828  abs.test: 0.03067675858736038  time: 3.147421360015869
ep: 81  rel.train: 0.038520676374435424  rel.test: 0.03860213428735733  abs.test: 0.03188820093870163  time: 3.1541481018066406
ep: 82  rel.train: 0.039669452905654906  rel.test: 0.04490656107664108  abs.test: 0.03707868039608002  time: 3.1504170894622803
ep: 83  rel.train: 0.039317029654979706  rel.test: 0.03508875697851181  abs.test: 0.02898238569498062  time: 3.1529793739318848
ep: 84  rel.train: 0.036496477365493774  rel.test: 0.0348095241189003  abs.test: 0.028754408359527587  time: 3.1554787158966064
ep: 85  rel.train: 0.03793620336055756  rel.test: 0.03604190915822983  abs.test: 0.029765360951423646  time: 3.1580703258514404
ep: 86  rel.train: 0.0378830726146698  rel.test: 0.044707262217998506  abs.test: 0.03693395167589188  time: 3.15938138961792
ep: 87  rel.train: 0.03714861768484116  rel.test: 0.033038130700588225  abs.test: 0.027295028120279313  time: 3.1792709827423096
ep: 88  rel.train: 0.036697951793670656  rel.test: 0.04346375703811645  abs.test: 0.03587386339902878  time: 3.1638081073760986
ep: 89  rel.train: 0.03574494588375091  rel.test: 0.03526454508304596  abs.test: 0.029109662771224974  time: 3.162940740585327
ep: 90  rel.train: 0.03774532979726791  rel.test: 0.03600781410932541  abs.test: 0.029739558696746826  time: 3.1692538261413574
ep: 91  rel.train: 0.035487061083316805  rel.test: 0.03369033962488174  abs.test: 0.02784675121307373  time: 3.171595811843872
ep: 92  rel.train: 0.03805590385198593  rel.test: 0.03594746232032776  abs.test: 0.029689967334270477  time: 3.1725385189056396
ep: 93  rel.train: 0.03607877230644226  rel.test: 0.03566128969192505  abs.test: 0.0294503715634346  time: 3.1857497692108154
ep: 94  rel.train: 0.03369993698596954  rel.test: 0.03511120438575745  abs.test: 0.029013735949993135  time: 3.1875226497650146
ep: 95  rel.train: 0.036841432988643646  rel.test: 0.03688281893730164  abs.test: 0.030460560619831087  time: 3.1878557205200195
ep: 96  rel.train: 0.03407622331380844  rel.test: 0.03069834232330322  abs.test: 0.025365345627069474  time: 3.189591646194458
ep: 97  rel.train: 0.03753285080194473  rel.test: 0.038395868837833406  abs.test: 0.03169561833143234  time: 3.1921260356903076
ep: 98  rel.train: 0.033087285697460174  rel.test: 0.030965509712696074  abs.test: 0.025587603151798248  time: 3.1960320472717285
ep: 99  rel.train: 0.03738127428293228  rel.test: 0.03097297132015228  abs.test: 0.025585871934890748  time: 3.1941521167755127
ep: 100  rel.train: 0.03343081283569336  rel.test: 0.030170177817344667  abs.test: 0.024925473779439926  time: 3.193160057067871
ep: 101  rel.train: 0.034183915555477146  rel.test: 0.03746402949094772  abs.test: 0.030947664976119994  time: 3.1923160552978516
ep: 102  rel.train: 0.034473022401332855  rel.test: 0.03289017409086228  abs.test: 0.027172403037548067  time: 3.1939656734466553
ep: 103  rel.train: 0.03467505222558975  rel.test: 0.03359271675348282  abs.test: 0.027765014171600343  time: 3.19364857673645
ep: 104  rel.train: 0.03253235858678818  rel.test: 0.031503261625766756  abs.test: 0.026026197969913484  time: 3.201260566711426
ep: 105  rel.train: 0.03203092706203461  rel.test: 0.029155112206935882  abs.test: 0.02408177688717842  time: 3.1933226585388184
ep: 106  rel.train: 0.03365883159637451  rel.test: 0.02975207060575485  abs.test: 0.024591302275657655  time: 3.191408634185791
ep: 107  rel.train: 0.03110584419965744  rel.test: 0.02971216559410095  abs.test: 0.024540557414293288  time: 3.189809799194336
ep: 108  rel.train: 0.03184943050146103  rel.test: 0.028388312608003615  abs.test: 0.023470133244991302  time: 3.186065196990967
ep: 109  rel.train: 0.03227107256650925  rel.test: 0.030198383927345276  abs.test: 0.024940024614334106  time: 3.186791181564331
ep: 110  rel.train: 0.033326105296611785  rel.test: 0.030433571338653563  abs.test: 0.025161647498607637  time: 3.1870033740997314
ep: 111  rel.train: 0.02977590450644493  rel.test: 0.032743606567382816  abs.test: 0.027049720883369446  time: 3.1789729595184326
ep: 112  rel.train: 0.032745863080024716  rel.test: 0.028327571898698806  abs.test: 0.023409193307161333  time: 3.176283359527588
ep: 113  rel.train: 0.030550174593925478  rel.test: 0.03192838221788406  abs.test: 0.026367756128311156  time: 3.172760486602783
ep: 114  rel.train: 0.03064130228757858  rel.test: 0.02801836684346199  abs.test: 0.023154719471931456  time: 3.1713364124298096
ep: 115  rel.train: 0.029258840650320053  rel.test: 0.035282840132713315  abs.test: 0.02915432393550873  time: 3.176544427871704
ep: 116  rel.train: 0.03147580480575562  rel.test: 0.028349322378635407  abs.test: 0.023414839059114456  time: 3.1657931804656982
