dir now: /lustre/home/2200010870/works/NeuralOperator/Multigrid
data_in.shape: (2490, 221, 51, 2)
data_out.shape (2490, 221, 51)
x_train.shape:  torch.Size([1000, 2, 221, 51])
y_train.shape:  torch.Size([1000, 1, 221, 51])
p=Parameter containing:
tensor(0.8000000119209290, requires_grad=True)
number of parameters is 1981040
Epoch: 0 rel.Train: 0.1588171420097351 rel.Test: 0.14996058344841004  abs.Test: 0.12403114438056946 p: 0.7970710396766663
Epoch: 1 rel.Train: 0.13343474411964418 rel.Test: 0.11316455066204072  abs.Test: 0.09355818152427674 p: 0.7978367805480957
Epoch: 2 rel.Train: 0.11114271205663681 rel.Test: 0.10541306495666504  abs.Test: 0.08711811900138855 p: 0.798104465007782
Epoch: 3 rel.Train: 0.10542959356307983 rel.Test: 0.10066826939582825  abs.Test: 0.08322664201259614 p: 0.7983006238937378
Epoch: 4 rel.Train: 0.10229497766494751 rel.Test: 0.0984803569316864  abs.Test: 0.08144021630287171 p: 0.7983930110931396
Epoch: 5 rel.Train: 0.10133161902427673 rel.Test: 0.09849277377128601  abs.Test: 0.08143269300460815 p: 0.7983586192131042
Epoch: 6 rel.Train: 0.10073035001754761 rel.Test: 0.09759846687316895  abs.Test: 0.08072387933731079 p: 0.7984002232551575
Epoch: 7 rel.Train: 0.10117596018314362 rel.Test: 0.0979422914981842  abs.Test: 0.08103042840957642 p: 0.7984170913696289
Epoch: 8 rel.Train: 0.10145229268074035 rel.Test: 0.09777016520500183  abs.Test: 0.08084776163101197 p: 0.7982690930366516
Epoch: 9 rel.Train: 0.10098047935962677 rel.Test: 0.09746334671974183  abs.Test: 0.08060713529586792 p: 0.7982694506645203
Epoch: 10 rel.Train: 0.10080825626850128 rel.Test: 0.09751912593841552  abs.Test: 0.08064016938209534 p: 0.7982235550880432
Epoch: 11 rel.Train: 0.10075248229503632 rel.Test: 0.09732191205024719  abs.Test: 0.08048978924751282 p: 0.798245370388031
Epoch: 12 rel.Train: 0.10039832484722137 rel.Test: 0.09755616009235382  abs.Test: 0.0807077568769455 p: 0.7983000874519348
Epoch: 13 rel.Train: 0.10053437924385071 rel.Test: 0.09807798027992248  abs.Test: 0.08108841419219971 p: 0.7981446385383606
Epoch: 14 rel.Train: 0.10038515651226043 rel.Test: 0.09757422745227813  abs.Test: 0.08069433331489563 p: 0.7981791496276855
Epoch: 15 rel.Train: 0.10055139070749283 rel.Test: 0.09816740572452545  abs.Test: 0.08116237998008728 p: 0.7981276512145996
Epoch: 16 rel.Train: 0.10088718724250793 rel.Test: 0.09724672079086304  abs.Test: 0.0804305762052536 p: 0.798176646232605
Epoch: 17 rel.Train: 0.10050177192687988 rel.Test: 0.09781566977500916  abs.Test: 0.08088047683238983 p: 0.7981066107749939
Epoch: 18 rel.Train: 0.10047874903678894 rel.Test: 0.09729878723621369  abs.Test: 0.08046195447444916 p: 0.798127293586731
Epoch: 19 rel.Train: 0.10026175343990326 rel.Test: 0.09749168455600739  abs.Test: 0.08065087676048278 p: 0.7982122302055359
Epoch: 20 rel.Train: 0.10039171075820923 rel.Test: 0.09738707721233368  abs.Test: 0.08054801523685455 p: 0.7981654405593872
Epoch: 21 rel.Train: 0.10047597110271454 rel.Test: 0.09835560441017151  abs.Test: 0.08131507694721223 p: 0.7980668544769287
Epoch: 22 rel.Train: 0.1004002091884613 rel.Test: 0.09724771618843078  abs.Test: 0.08043104887008667 p: 0.7981538772583008
Epoch: 23 rel.Train: 0.10032492733001709 rel.Test: 0.09786417365074157  abs.Test: 0.08091741442680359 p: 0.7980817556381226
Epoch: 24 rel.Train: 0.10060038650035859 rel.Test: 0.09756489992141723  abs.Test: 0.08068411350250244 p: 0.7981399297714233
Epoch: 25 rel.Train: 0.10059986853599548 rel.Test: 0.09811618626117706  abs.Test: 0.08112347602844239 p: 0.798060953617096
Epoch: 26 rel.Train: 0.10053829288482666 rel.Test: 0.09727344512939454  abs.Test: 0.08046299576759339 p: 0.798201322555542
Epoch: 27 rel.Train: 0.10034087055921555 rel.Test: 0.09719779968261719  abs.Test: 0.08038756489753723 p: 0.7981405258178711
Epoch: 28 rel.Train: 0.10031229496002197 rel.Test: 0.09746179521083832  abs.Test: 0.08059328317642211 p: 0.7980949878692627
Epoch: 29 rel.Train: 0.10052234530448914 rel.Test: 0.10026064395904541  abs.Test: 0.08286121785640717 p: 0.7979459166526794
Epoch: 30 rel.Train: 0.10110689556598663 rel.Test: 0.09728386998176575  abs.Test: 0.08047044813632966 p: 0.7981972694396973
Epoch: 31 rel.Train: 0.10040780985355377 rel.Test: 0.0971595048904419  abs.Test: 0.08035844206809997 p: 0.7981880307197571
Epoch: 32 rel.Train: 0.10021407222747802 rel.Test: 0.09751668334007263  abs.Test: 0.08064463257789611 p: 0.798154354095459
Epoch: 33 rel.Train: 0.100314195394516 rel.Test: 0.09727109372615814  abs.Test: 0.08045219659805297 p: 0.7981990575790405
Epoch: 34 rel.Train: 0.10037953495979308 rel.Test: 0.09847887694835662  abs.Test: 0.0814135456085205 p: 0.7980408668518066
Epoch: 35 rel.Train: 0.10035013002157211 rel.Test: 0.09731263816356658  abs.Test: 0.08048317790031433 p: 0.7981886863708496
Epoch: 36 rel.Train: 0.10031703162193298 rel.Test: 0.09775607705116272  abs.Test: 0.08082821369171142 p: 0.7980797290802002
Epoch: 37 rel.Train: 0.10021192014217377 rel.Test: 0.09721044003963471  abs.Test: 0.08040453672409058 p: 0.7982127070426941
